"Day","Period","Staff N","Staff R","Staff L","Issues"
"Monday",1,"aA","aJ","aL",""
"Monday",2,"aD","aJ","aL",""
"Monday",3,"","aB","aA",""
"Monday",4,"","aGs11","","aL not covered"
"Monday",5,"aHub","aJ","aL",""
"Tuesday",1,"aA","aJ","aD",""
"Tuesday",2,"aD","aJ","aL",""
"Tuesday",3,"","aB","","aA not covered"
"Tuesday",4,"","aGs11","","aA not covered"
"Tuesday",5,"aHub","aJ","aL",""
"Wednesday",1,"","aJ","aL","aA not covered"
"Wednesday",2,"","aJ","aD","aA not covered"
"Wednesday",3,"","aB","aA",""
"Wednesday",4,"","aGs11","aL",""
"Wednesday",5,"","aJ","aL","aA not covered"
"Thursday",1,"","aN","aL","aA not covered"
"Thursday",2,"","aN","aD","aA not covered"
"Thursday",3,"aGs11","aB","","aA not covered"
"Thursday",4,"","","","Multiple not covered"
"Thursday",5,"","","aL","Multiple not covered"
"Friday",1,"","aN","aL","aA not covered"
"Friday",2,"","aN","aD","aA not covered"
"Friday",3,"aGs11","aB","aA",""
"Friday",4,"","aJ","","aA not covered"
"Friday",5,"aHub","aJ","aL",""
